ID 	 SPEED
------	-------
0 	 57
1 	 69
3 	 55
4 	 107<---exceeded
5 	 80
7 	 71
12 	 47
11 	 39
13 	 43
14 	 81<---exceeded
15 	 85<---exceeded
23 	 86<---exceeded
24 	 105<---exceeded
34 	 91<---exceeded
37 	 65
39 	 50
43 	 78
53 	 65
55 	 59
56 	 70
57 	 100<---exceeded
59 	 82<---exceeded
65 	 163<---exceeded
66 	 104<---exceeded
69 	 151<---exceeded
71 	 151<---exceeded
94 	 78
98 	 89<---exceeded
99 	 146<---exceeded
100 	 115<---exceeded
101 	 102<---exceeded
104 	 123<---exceeded
107 	 266<---exceeded
105 	 152<---exceeded
